state,type,date,fips,democrat,total_delegates,total_alternates,district_level,unpledged_automatic_pleos*,pledged_pleos,at_large,district_level_alternates,at_large_alternates,,
Democrats Abroad,caucus,2020-03-03,00,TRUE,21,0,0,8,1,12,0,0,,
Alabama,primaries,2020-03-03,01,TRUE,,,,,,,,,,
Alaska,caucus,2020-04-04,02,TRUE,,,,,,,,,,
Arizona,primaries,2020-03-17,04,TRUE,78,6,44,11,9,14,0,6,,
Arkansas,primaries,2020-03-03,05,TRUE,,,,,,,,,,
California,primaries,2020-03-03,06,TRUE,495,35,272,79,54,90,25,10,,
Colorado,primaries,2020-03-03,08,TRUE,80,6,44,13,9,14,0,6,,
Connecticut,primaries,2020-04-28,09,TRUE,,,,,,,,,,
Delaware,primaries,2020-04-28,10,TRUE,28,2,11,11,2,4,0,2,,
District of Columbia,primary,2020-06-02,11,TRUE,,,,,,,,,,
Florida,primaries,2020-03-17,12,TRUE,248,18,143,29,29,47,13,5,,
Georgia,primaries,2020-03-24,13,TRUE,120,9,68,15,14,23,0,9,,
Hawaii,caucus,2020-04-04,15,TRUE,36,2,14,9,8,5,0,2,,
Idaho,primaries,2020-03-10,16,TRUE,25,0,13,5,3,4,,,,
Illinois,primaries,2020-03-17,17,TRUE,184,13,101,29,20,34,0,13,,
Indiana,primaries,2020-05-05,18,TRUE,,,,,,,,,,
Iowa,caucus,2020-02-03,19,TRUE,49,4,27,8,5,9,4,0,,
Kansas,primary,2020-05-02,20,TRUE,45,3,26,6,4,9,0,3,,
Kentucky,primary,2020-05-19,21,TRUE,,,,,,,,,,
Louisiana,primaries,2020-04-04,22,TRUE,61,4,35,7,7,12,0,4,,
Maine,primary,2020-03-03,23,TRUE,32,2,16,8,3,5,0,2,,
Maryland,primaries,2020-04-28,24,TRUE,102,7,52,23,10,17,0,7,,
Massachusetts,primaries,2020-03-03,25,TRUE,114,8,59,23,12,20,0,8,,
Michigan,primaries,2020-03-10,26,TRUE,147,10,82,22,16,27,0,10,,
Minnesota,primaries,2020-03-03,27,TRUE,91,6,49,16,10,16,0,6,,
Mississippi,primaries,2020-03-10,28,TRUE,,,,,,,,,,
Missouri,primaries,2020-03-10,29,TRUE,78,6,44,10,9,15,0,6,,
Montana,primaries,2020-06-02,30,TRUE,,,,,,,,,,
Nebraska,primaries,2020-05-12,31,TRUE,33,2,20,4,3,6,2,0,,
Nevada,caucus,2020-02-22,32,TRUE,48,3,23,12,5,8,2,1,,
New Hampshire,primaries,2020-02-11,33,TRUE,33,2,16,9,3,5,0,2,,
New Jersey,primaries,2020-06-02,34,TRUE,,,,,,,,,,
New Mexico,primaries,2020-06-02,35,TRUE,40,2,19,11,4,6,2,0,,
New York,primary,2020-04-28,36,TRUE,327,23,183,46,37,61,0,23,,
North Carolina,primaries,2020-03-03,37,TRUE,122,9,72,12,14,24,0,9,,
North Dakota,caucus,2020-03-10,38,TRUE,,,,,,,,,,
Ohio,primaries,2020-03-17,39,TRUE,153,11,89,17,18,29,8,3,,
Oklahoma,primaries,2020-03-03,40,TRUE,,,,,,,,,,
Oregon,primaries,2020-05-19,41,TRUE,74,5,41,13,7,13,0,5,,
Pennsylvania,primaries,2020-04-28,42,TRUE,210,16,125,24,20,41,12,4,,
Rhode Island,primaries,2020-04-28,44,TRUE,,,,,,,,,,
South Carolina,primary,2020-02-29,45,TRUE,,,,,,,,,,
South Dakota,primaries,2020-06-02,46,TRUE,,,,,,,,,,
Tennessee,primaries,2020-03-03,47,TRUE,73,5,42,9,8,14,0,5,,
Texas,primaries,2020-03-03,48,TRUE,262,19,149,34,30,49,0,19,,
Utah,primary,2020-03-03,49,TRUE,,,,,,,,,,
Vermont,primaries,2020-03-03,50,TRUE,24,2,11,8,2,3,0,2,,
Virginia,primaries,2020-03-03,51,TRUE,124,8,65,25,13,21,6,2,,
Washington,primaries,2020-03-10,53,TRUE,107,7,58,18,12,19,0,7,,
West Virginia,primaries,2020-05-12,54,TRUE,,,,,,,,,,
Wisconsin,primaries,2020-04-07,55,TRUE,90,6,50,13,10,17,5,1,,
Wyoming,caucus,2020-04-04,56,TRUE,,,,,,,,,,
American Samoa,caucus,2020-03-03,60,TRUE,,,,,,,,,,
Guam,caucus,2020-05-02,66,TRUE,,,,,,,,,,
Northern Marianas,caucus,2020-03-14,69,TRUE,,,,,,,,,,
Puerto Rico,primary,2020-03-29,72,TRUE,59,5,33,8,7,11,0,5,,
U.S. Virgin Islands,caucus,2020-06-06,78,TRUE,,,,,,,,,,
